Name,Logo,Site,Funding Rounds,Location(s),Notes
.406 Ventures,vmm6ugjlhyps9yhu3ufi.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/YLuFxtM62535RaSL5X1BUg/51U6wzdS9oXk2yOpISyqL4-fBYsqWbU4kEhFu9Xc9zAyu1eFypoa8nqu_FulV83w3ARiNgb7FKsSQFZ7pVhPZ-Q8HPV-WZyaak8UadGqOYOa20dDnyEPTevsGF2p4rNb/gFW56wuTP0nhlQgzUWnxF4CZLBjg9nkzfPZlrljg_uw),http://www.406ventures.com/,.406 Ventures II,Boston/Cambridge,
83North,booplpldsebesnxqyt3o.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/Y4ctGN1A2UXKTuUSvUFM3g/PcFIYf6BsVMyjvd52kkF63VrBo2nVGHxJwS5SFffBaYh9UGww0f5C4psE9Nqp92c6yJMXIrshSeKa-7BgIqv7fHxvFN2YzZcgpEwGlVUsp85PF2AerYLjats0WZlQU4S/TXriCC04dJ6k6B-T446PA249u_mHXpzpOypx5F3ZRrc),http://www.83north.com/,83North I,"Tel Aviv Metro Area,London",Formerly Greylock IL
137 Ventures,4cd3e0820f08a1ea8325be1b9990e569.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/ovsSGpqxaX8VDhskFQCLHg/ULA5GT87I7gaWA9gxpZroc0dwl2Eypi6kuYYY5zfIVVT7qXtI-M8iN01HbZCi1cSOCzFJdJpZZL_tGY8hYaUzC9UeZDqhUxQmRNh2X-XRoSHJQnMvjvSHi_q2iNrFEXH/ornujPhWmMzC0b32wbWLUlztG4PzexAzi5HNMcE-Xfg),http://137ventures.com/,137 Ventures II,SF Bay Area/Silicon Valley,
212 Limited,oqjnbl1ieirdf57k6e4s.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/C2RHo7d3-pMOGi4tpGncYg/QANttRa9xXKFpL9K2nI5O3h2LujVc7XcBiCPgNI-Jgub5xib7McQYw_Z6WVjCISwkNdwKSg0oL9FpJUnziM7uyukTnGBTlUjZLk01sMy2r7iXd-fnJ5112-Bl6CJDUlc/2Y0BQpiCb6dnm2wjB2TQ9Qt0hjP21QFzBjl-GAgL-_g),http://212ltd.com/,212 Limited I,Istanbul,
500 Startups,ehscebzgx2cvshmw9vxb.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/ayYqbUNlIYuXizOFgYnzwA/XXMDWhNrIaxZPIt2O1a-e8icWz7bmpFrl21aFLR_p7Xm3YeU9Nn2752ZyKN6GpEsh_C4dA-9MvpAPA3Alav2tmphI7OQjMUgb4fVFM6m2qXHBLKjbFZOXZq1SYcG1NLb/eVyskPCh76klaM6pXpP2Yd0_nY_1pDmU_YJsBmazQmo),http://500.co/,"500 Startups III,500 Startups II,500 Startups I","SF Bay Area/Silicon Valley,""New York, NY"",Mexico City",
1955 Capital,im04cp1aagy36n35cdhz.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/WkZqwjHROMc3ZBmTUppSUA/dkGBPeprumERkox2E37qZNfr9tKhYxS7_MUAQZY8C-IrHZDYWxVbwhrqVeFkRsSl6j92umkqUEKANGWo9HTN0za_EibD33v1Q4d7ffZ3Xw_IsQ0PMBVQHqYuCCZqOh5N/hJjEQNV-TC9O3F4OewvcbS0R9qAe0G19kgkTFp9QcsY),http://www.1955.capital/,1955 Capital I,SF Bay Area/Silicon Valley,
Acton Capital Partners,acton_capital_partners.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/V3vweGpJ1ah1Vzn4iGLAyQ/HcgMr-z5sx3b5AgGVOJHr4s0fKcODxBDv_w5Uzjv7msUN61uXGUzavba9_p6zGsypDPUZ3bNrDKI73nuhRdklHc9jSz4s1DyNQ22dbQM5WZmt7zOrxZx2d4qQmpvVKRU/DJltT0w1Dl0MES0VpUXBAmRrfoz0_o3U0hs86E3Cg_o),http://www.actoncapital.com/,Acton Capital Partners II,Munich,
Aglaia Biomedical Ventures,aglaia_biomedical_ventures.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/c6-AChyy4oslxWzDeuCsqA/0V6A-TtGJj-7s0H_4E2m5fR4BxUaIa0c6NlwoyoIMLGH7pT2VjmKIOjl-Xg8BZBWPnr3u-jXdEGghYQ6tbBcOWKtP5Rb_z9AEdasdE4aZK9prcZ6YW9VNcqGeYbNrgvk/8rJQWcMhAxFkyabJhYqgJj7s-Dp9Da0k3Oy-7HbHkkk),http://www.aglaia-biomedical.com/,Aglaia Biomedical Ventures II,"""Bilthoven, The Netherlands""",
AH Bio Fund,andreesen_horowitz.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/yhhCo0HansrOImy938Fxxg/oJx9Tv71Qq7JStCFOZbXcIstha2e7h_UoAJhHNSWwfQUpY_hI4tVR6p5imLUx-9aDd_U8-ZDJAW3TQuQYOKC-gvI7rggXXWm-efjmBf7Pxc/BpMBrT-ESyqRpKYZeZLE9PMrl5zwyORhA_HN7PeEKYU),http://www.a16z.com/,AH Bio Fund I,SF Bay Area/Silicon Valley,
Akkadian Ventures,akkadian_ventures.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/huzVhWzXiyKc3u5g_mEN7g/_r7it0NuSDU56pR2fMYffViq1_9m0v-fPMYbf2CvoaUM8YUfYKZkxmisXwpgSnillKMAlWz__vo4Y4HL3sj7NussWJtmJxhLHezwvyXwsYs/Bf4MuJZ1Qgqh50-RK-RZ0KemVCYohpHTkr0UDxrHbvs),http://www.akkadianventures.com/,Akkadian Ventures III,SF Bay Area/Silicon Valley,
Aleph,26aede45ba3f3e304ec6f80014f919c6.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/Dxf_lf5QHhPfLpgtCyd7EA/o4o_5erlqRGayz97lGgfv1tXjyXsZOVI6ziWWglszJ72MSSMnVN90NhvPnCKxCWTQEmkV3A1ef-8k36FsyfSof4H_ysX-4VPcqMWsxKnfNYCF-PB_3s-NZf0U5AOjEf9/NuAjbYRS3yK5O516iqAh_sTO-39Mmj8pUQyCFEjvxgA),http://aleph.vc/,Aleph I,Tel Aviv Metro Area,
Aligned Partners,f01ae3f6f8dafa6d25c65fabef5496e2.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/pQGx-IHgxnQ_rbLiCl8Rjg/YKYkl2WFiZk_di4Vm8KoJOKdGcLAaIyN-CuD0V5QraIcFEeUFALuXrnbRcqq4INtA90jHneefoWDvYLiqRyD3vatbkedjU31MDSUnKtVmikQSPeuofj1tW2WrrWsLZu2/EROJRkzsZw5m2N9UvWw1EqfyEIQSsmZiujXAGGI0LMU),http://alignedvc.com/,Aligned Partners II,SF Bay Area/Silicon Valley,
Alpha Venture Partners,alpha_ventures_partners.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/qGT4eh5Lw6AIvnd6OaANBA/y-GauFYg6qJm3mt7ktLhxPlb9WuINa9AvF_bpieZ7Ch_uAMpg_BYS-PFZOQKQ4tfXrZw4wvO3FJjyT2smhzOiBjPGfoscdhTOBu9iNG4WvRpYzRngt90xxnVuE_4FJLk/J2ywIZVZuQegkNHoXsMgEJi1ABv6kIPjN9ygGliaRPA),http://www.alphavp.com/,Alpha Venture Partners I,"""New York, NY""",
Alsop Louie,alsop_louie.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/rDz_8pPvvXEvCUFujc6baA/f_XrsLqZ6kgfQdrXEfExOq1okplU3utiSv67rwWYYp3udlA9ie_47Br357Y0XfgoqsRzjeeybG80xcr7BTYsjWNnSG1UWlTuGMHq7IFc5pg/F7F5XxyoPRWkzrxpr70euE_d9a1Scfm_NpUX_Eb8tHU),http://www.alsop-louie.com/,Alsop Louie III,SF Bay Area/Silicon Valley,
Altos Ventures,altos_ventures.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/uzZiVNlzZ42DOG0NDoDOyw/ju-H_-xcdEXH6oIfuSOHj0ozEFxJxdCRjrhDbqvegRCBZeMWDG8DcydYcWexD2QTXCpJDroP4uMNx7WQTQpu-7cT1zsNY-ntayeAB9oZA_Q/D3L6W47hxya5NvVLu3M_v9qOwwd706KCWZDUn0RiZgk),http://www.altos.vc/,"Altos Ventures I,Altos Ventures II","SF Bay Area/Silicon Valley,Seoul",
Ameba Capital,,,Ameba Capital II,Hong Kong,
Amplify Partners,090c8f938467b740370ce482c709c058.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/qnVmdDtqyp9EZqNJRjNR_w/MIzSh5wz0Xi8AM0mM_eaMSnpUqw6eg5HuDvTjpXyAKTd2UP59_Q6Y8YS8xgEf3ceZhYre70qN5KPBxfmN8dAPAlCC6P-96-6J3RTrWxn8vJS44C34CwzpMR12XYcU0nl/bTil50ZIhsyIcMa3B-nVQhos7AjhnDvCHVLJ7W1fZeY),http://www.amplifypartners.com/,"Amplify Partners II,Amplify Partners I","SF Bay Area/Silicon Valley,Boston/Cambridge",
Amplify.LA,a6n2dcrl0yyejsen1ber.png (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/gZ789-XhkoGiOaPuaUmZ4Q/F8enVePVsRY5TULJw9k6fwMjzTkNTNf-yNi6T91MuQhDmqPP0Byq9BdzCQcECT31egLvBs8WIy7rlDTnWgmueHQlgYWnNf5R7ZVPPwlEYhEB7xmgpsGmSV7egcZZAYHn/tVNbMSnf7n0SrCeCFUOsk_66WP4mUIczp1sj8O8tMSA),http://amplify.la/,Amplify.LA II,Los Angeles,
Aperture Venture Partners,8aa6f1c2ea872b0d06534eee5d34d73a.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/VBAfB6mxuYQeR4c1AqTaGg/T9b4vn0A9s5i0N-JS71_REeJM8xWboEPS2ljr4tGhcImrjRSHZYl34yymeSe5YJhzw1qGIyxKd7Fx8EctboxKCznImB9ri-ZJ6k2_ntzVImzlywCc-UTJvhio_657vln/li4vk0l8z3B50IR66_ZEEqKyfeBWP7CX4ZjXwJB9AWs),http://www.aperturevp.com/,Aperture Venture Partners III,"""New York, NY""",
Arthur Ventures,arthur_ventures.jpg (https://v5.airtableusercontent.com/v3/u/36/36/1734811200000/gT51diAKXILNqWmo47z5kQ/5io1oYtqJ57-xecM-7VuamLa8Nk4O6-fwrvWHxeSuNRH17xOkpJfrCIpvDh10zqMFy7zu-kRJFA3t1gdv6toQSe_HuAa1e_qyn1NHYuZ4NA/VURluIajlkodlj1RuojtJvWkrZsKgGkzmecSJJubTns),http://arthurventures.com/,Arthur Ventures II,"""Minneapolis, MN"",""Fargo, ND""",
