id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Countries of Investment,Stage of Investment
8639a8d2-6b37-4e7a-8eae-0d966f042c6e,2150,company,,,,https://www.2150.vc/,https://www.2150.vc/,,,,,"All VCs ,+100 best VC Funds in UK 🇬🇧","UK,USA,Denmark,Finland,Germany,France,Sweden,Spain","4. Scaling,3. Early Revenue,5. Growth"
6df29ec3-7658-4530-a0de-4e8b74701c4c,83North,company,,83North is a global venture capital firm with more than $1.8B million under management.,,https://www.83north.com/,https://www.83north.com/,,,UK,UK,"All VCs ,Top European VCs,+100 best VC Funds in UK 🇬🇧","Israel,UK",3. Early Revenue
ac143305-13ce-4ab1-a45c-a1eda08a6731,Abingworth,company,,,,https://www.abingworth.com,https://www.abingworth.com,,,,,"All VCs ,+100 best VC Funds in UK 🇬🇧","USA,UK",3. Early Revenue
9f42ce90-839c-4120-bf6a-42d5e40a5a27,Ada Ventures,company,,,,https://www.adaventures.com/,https://www.adaventures.com/,,,UK,UK,"Top European VCs,+100 best VC Funds in UK 🇬🇧",UK,3. Early Revenue
73f7b4f9-2745-4fba-bd3a-b7b686d01b76,ADV Accelerated Digital Ventures,company,,,,https://accelerated.ventures/,https://accelerated.ventures/,,,,,+100 best VC Funds in UK 🇬🇧,UK,3. Early Revenue
62e48533-ec2c-4d31-ab81-f3d5611aac4c,Agronomics,company,,,,https://agronomics.im/,https://agronomics.im/,,,,,+100 best VC Funds in UK 🇬🇧,UK,3. Early Revenue
813430ff-18d7-4478-9d19-0133158328c3,Ahren Innovation Capital,company,,,,http://www.ahreninnovationcapital.com/,http://www.ahreninnovationcapital.com/,,,,,"All VCs ,+100 best VC Funds in UK 🇬🇧","USA,UK","2. Prototype,3. Early Revenue"
0a09c962-d3f9-400b-89a6-6bceb59cbb6b,Air Street Capital,company,,,,https://www.airstreet.com/,https://www.airstreet.com/,,,UK,UK,"All VCs ,Top European VCs,+100 best VC Funds in UK 🇬🇧","USA,UK",2. Prototype
7dbfdf8b-e4fe-4a56-8e95-fe11f554dd96,AI Seed Fund,company,,,,https://aiseed.vc/,https://aiseed.vc/,,,,,+100 best VC Funds in UK 🇬🇧,UK,2. Prototype
39d19321-d85d-4537-89be-6dff23e42176,AlbionVC,company,marketing@albion.capital,AlbionVC supports visionary founders with long-term capital and scale-up expertise.,marketing@albion.capital,https://www.albion.vc/,https://www.albion.vc/,,,UK,UK,"Corporate Venture Arms,All VCs ,+100 best VC Funds in UK 🇬🇧","USA,UK",3. Early Revenue
7e015f08-efcf-4291-8b81-85a795f71048,Alchemy,company,,,,https://www.alchemysyndicate.com/,https://www.alchemysyndicate.com/,,,,,+100 best VC Funds in UK 🇬🇧,"USA,UK","2. Prototype,3. Early Revenue,1. Idea or Patent"
b29bb827-5cd7-43aa-b006-8bcde367e9b3,Alderley Park Ventures,company,,,,https://biocity.co.uk/investment/,https://biocity.co.uk/investment/,,,,,+100 best VC Funds in UK 🇬🇧,UK,3. Early Revenue
1e6c9b5b-1516-4264-84d3-a3d45690ca8f,Amadeus Capital Partners,company,,"Amadeus Capital Partners caters to the technology sector with seed, early, and later stage venture, and private equity investments.",,https://www.amadeuscapital.com/,https://www.amadeuscapital.com/,,,UK,UK,"All VCs ,Top European VCs,+100 best VC Funds in UK 🇬🇧",UK,3. Early Revenue
769da5e7-b56d-4a23-88de-e1c54d87d259,Anglo Scientific,company,,,,https://www.angloscientific.com/mission/,https://www.angloscientific.com/mission/,,,,,+100 best VC Funds in UK 🇬🇧,UK,3. Early Revenue
bf1dfce6-a083-49ec-abe7-08412caee760,Anthemis,company,,,,https://www.anthemis.com/,https://www.anthemis.com/,,,,,+100 best VC Funds in UK 🇬🇧,"USA,France,Germany,UK,Canada","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
59ac55e8-afca-4db2-9a32-236ba6bc96bb,Apax Partners,company,,Apax Partners is an independent global partnership focused solely on long-term investment in growth companies.,,https://www.apax.com/,https://www.apax.com/,,,,,+100 best VC Funds in UK 🇬🇧,"USA,Israel,Canada,UK",
bde1c554-4bf7-451c-a8c9-98aadd24164d,Apollo Ventures,company,,,,https://apollo.vc,https://apollo.vc,,,,,+100 best VC Funds in UK 🇬🇧,"USA,UK",3. Early Revenue
04d6434e-ae9f-4999-9b60-c1c161b34377,Aquarius Equity,company,,,,http://www.aquariusequity.com/,http://www.aquariusequity.com/,,,,,+100 best VC Funds in UK 🇬🇧,UK,3. Early Revenue
