id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Investor Type,Region Invested,Stage Invested,Thesis,Ticket Size Sweetspot,Value add
d6e7b87a-8440-4170-a802-b5c044b83663,500 Global,company,,500 Global (previously 500 Startups) is a multi-stage venture capital firm invests in founders building fast-growing technology companies.,,500.co,500.co,,,,,100 VC firms Investing In SaaS,"Accelerator,Venture Capital","West Europe,North America,South America,Asia-Pacific,North Europe,South Europe,East Europe","Series A,Seed,Pre-Seed",Great teams,150000,Accelerator
58b558ab-6476-4c45-a350-393cc3417c22,500 Istanbul,company,,,,istanbul.500.co,istanbul.500.co,,,,,100 VC firms Investing In SaaS,Venture Capital,"United Kingdom,South Europe,East Europe,Turkey,Estonia,Latvia,Lithuania,United States","Seed,Pre-Seed","Early stage investments into globally focused teams across Turkey, Eastern Europe & the Baltics",€500k,"- Introductions to downstream capital, industry experts, & businesses, especially across US / UK supported by the 500 global network
- In-house recruitment & growth teams"
10e720eb-79bb-4f8a-9581-f802d722a459,70V,company,,,,www.70v.com,www.70v.com,,,,,100 VC firms Investing In SaaS,Venture Capital,"North Europe,East Europe","Series A,Seed,Pre-Seed",,,We help founders to build top-notch data-driven sales teams that deliver predictable revenue. 
28547357-d982-408f-b2d6-c89cab5ca593,Adara Ventures,company,,,,www.adara.vc,www.adara.vc,,,,,100 VC firms Investing In SaaS,Venture Capital,"United Kingdom,France,Spain,Italy,Portugal,Ireland {Republic}","Series A,Seed,Pre-Seed","Adara Ventures invests in ambitious businesses, partnering with founders with vision, courage and the capacity to execute. We manage €180m across three funds, and are actively investing from our €80m third fund launched in 2019. Focused on early-stage companies with a European footprint, Adara’s portfolio includes companies dedicated to cybersecurity, data applications and infrastructure, devops, hardware components and digital health.",1.5m,"We have a structured program that comprises Platforms, Partnerships, Communities + Playbooks that focus on solving growing pains. Our key focuses are governance, organisational build, networking and talent."
743ac57c-70f3-4ea1-8614-f77c07daa3c4,Altavia Adventures,company,,Altavia Adventures is the Venture Capital arm of Altavia Group.,,https://www.altavia-adventures.com/fr/,https://www.altavia-adventures.com/fr/,,,,,100 VC firms Investing In SaaS,CVC,West Europe,"Series A,Seed,Pre-Seed","Altavia Adventures is Altavia’s corporate investment fund. We take minority stakes in BtoB technology start-ups with a recurring business model – SaaS or Marketplace – in retailtech and close to our expertise in communication and commercial activation.

We invest in start-ups seeking to raise seed or series A funding and co-invest with other investment funds.

Our raison d’être is to identify new business models and technologies for publishing, marketing, retail, communication, point of sale and packaging.

Our expertise enables us to support visionary entrepreneurs, while preserving their autonomy.
We develop synergies between our portfolio and the Altavia Group’s subsidiaries.",200k to 2M,
82eb2805-ae5b-4932-8f51-788cecebde46,Angular Ventures,company,,,,https://angularventures.com/,https://angularventures.com/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,Israel,United Kingdom,North Europe,South Europe","Seed,Pre-Seed",Early Stage. Enterprise. Deep Tech.,1250000,Platform services. Venture Partner program.
bedaf8be-0364-4d7b-8c89-b21bbef9037d,Atempo Growth,company,,,,www.atempogrowth.com,www.atempogrowth.com,,,,,100 VC firms Investing In SaaS,,West Europe,,,,
4664bf30-f63d-4698-af71-2b4f815373bc,Axeleo Capital,company,,,,https://www.axc.vc/,https://www.axc.vc/,,,,,100 VC firms Investing In SaaS,Venture Capital,"West Europe,North Europe,South Europe,East Europe","Seed,Pre-Seed","B2B Software - Cybersecurity, Fintech, Crytpo & Web3, Enterprise Software",500k€ - 1.5M€,"Venture Partners, Platform w. ressources, Business development, Hiring, Strategy, Recurring workshops"
1cd28e32-bc61-4ea7-83a8-3e9906d0b1aa,be-exponential,company,,,,www.be-expoential.com,www.be-expoential.com,,,,,100 VC firms Investing In SaaS,"Angel,Micro VC","United Kingdom,Germany,Netherlands,Austria,Switzerland,Denmark,Sweden,Norway","Seed,Pre-Seed","From seed to scale, we support founders who are ready to go global with technology that redefines markets. We like to solve big problems using exponential technologies that could have a 10x impact.",,Seasoned operators in the European technology landscape
834cf12b-61dc-47e6-b547-70182b9439b0,Caixa Capital Risc,company,,,,www.caixacapitalrisc.es,www.caixacapitalrisc.es,,,,,100 VC firms Investing In SaaS,Venture Capital,"Spain,Portugal",,"B2B SaaS & DeeptechEnterprise Software, Cybersecurity, ML/AI Data, Energy & Cleantech among others","€0,5M - €2M",
