id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Number of Exits,Number of Investments,Number of Portfolio Organizations
1017bbda-5b8b-4aba-8b47-c1148ce202dd,1Digi,company,,1Digi is an Investment management firm.,,,,,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",All Asian Family Offices,,3,2
2d45291a-d519-4a37-b631-40b37e8d518d,3PEL Ventures,company,eliran@3pel.com,"Fast track to innovation - investments, dev & biz dev, marketing",eliran@3pel.com,https://www.3pel.com/,https://www.3pel.com/,,,"Tel Aviv, Tel Aviv, Israel","Tel Aviv, Tel Aviv, Israel",All Asian Family Offices,,,
d226580d-e243-4a7a-a37a-c1ba53e25572,6G Capital,company,info@sixg.vc,"6G Capital is the family office arm of the Allana Group, which invests in diverse sectors ranging from retail, healthcare, and fintech.",info@sixg.vc,6g.capital,6g.capital,,,"Dubai, United Arab Emirates","Dubai, United Arab Emirates",All Asian Family Offices,1,2,2
4656d5fd-9302-4626-8d5b-ce410b5cd978,78 Ventures,company,contact@78vc.com,78 Ventures is a venture capital firm.,contact@78vc.com,https://78vc.com,https://78vc.com,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore",All Asian Family Offices,,,
94fba308-3c03-406c-b8f8-13855a83b4d8,7-Main,company,,7-Main,,,,,,"Herzliya, Tel Aviv, Israel","Herzliya, Tel Aviv, Israel",All Asian Family Offices,,1,1
7171566c-b196-456e-8685-931de55055e4,8finity Global,company,ketan@8finity.global,8finity Global provides an incubation by providing the necessary resources to execute a venture.,ketan@8finity.global,https://8finity.global,https://8finity.global,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",All Asian Family Offices,1,2,2
a521a9b8-69f5-4857-a7b8-7df9059560f4,Abdulaal Group,company,info@abdulaal.net,"Technology group in the Middle East, with investments in the Telecom, security and Industrial sectors.",info@abdulaal.net,http://www.abdulaal.net,http://www.abdulaal.net,,,"Manama, Al Manamah, Bahrain","Manama, Al Manamah, Bahrain",All Asian Family Offices,,1,1
7b96a264-2844-40b4-a023-6e3f99fc7cd3,Abdul Latif Jameel,company,,Abdul Latif Jameel is a diversified business comprised of independent entities that include automotive distribution.,,http://www.alj.com/,http://www.alj.com/,,,"Jeddah, Makkah, Saudi Arabia","Jeddah, Makkah, Saudi Arabia",All Asian Family Offices,2,5,5
10de424d-c86a-4bed-a3b4-3b4aa6cb3ef8,Abeer Fund,company,media@abeer.com.au,A Specialist Fund Targeting World Changing Innovation,media@abeer.com.au,https://www.abeer.com.au/,https://www.abeer.com.au/,,,"Dubai, Dubai, United Arab Emirates","Dubai, Dubai, United Arab Emirates",All Asian Family Offices,,,
4ba8254b-5796-49dd-86ea-a933f517ad0f,Abu Dhabi Capital Group,company,,One of MENA's largest institutional investment groups,,abudhabicapitalgroup.com,abudhabicapitalgroup.com,,,"Abu Dhabi, United Arab Emirates","Abu Dhabi, United Arab Emirates",All Asian Family Offices,2,6,4
d7a56bc0-27f4-4f3f-9dd9-7933f8224412,Acuitas Capital,company,,Acuitas Capital is a financial services company.,,https://www.acuitascapital.in,https://www.acuitascapital.in,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India",All Asian Family Offices,2,2,2
