id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Accelerator Duration (in weeks),Founders,LinkedIn,Number of Exits,Number of Investments,Number of Portfolio Organizations,Stage,Twitter
ee4665a7-d7e2-4856-b811-7c0d3f466de1,10Pearls Ventures,company,,10Pearls Ventures is a venture capital firm.,,,,,,"Washington, District of Columbia, United States","Washington, District of Columbia, United States",Corporate Venture Arms,,,,,2,2,Early Stage Venture,
6ac38f27-2907-4b8c-977d-31d578b7be86,1835i Ventures,company,,1835i Ventures is a corporate venture capital arm of ANZ Bank.,,https://www.1835i.com/,https://www.1835i.com/,,,,,Corporate Venture Arms,,"Daniel Wypler, Ron Spector",https://www.linkedin.com/company/1835i/,,12,6,Late Stage Venture,
c98824e6-5d55-49fd-8616-832dfd307f24,301,company,,301 INC is an energetic and enthusiastic team looking to collaborate with emerging food brands.,,https://www.301inc.com,https://www.301inc.com,,,"Minneapolis, Minnesota, United States","Minneapolis, Minnesota, United States",Corporate Venture Arms,,John Haugen,https://www.linkedin.com/company/301-inc,1,21,16,,
6b779478-785d-491b-9c0b-200bc330630a,32 Equity,company,,32 Equity is a strategic investment firm that focuses on companies that can help to grow the game of football and creates content.,,,,,,,,Corporate Venture Arms,,Kevin LaForce,,3,9,9,,
7563caab-4886-4db6-b0cf-799fa636e8b4,3Com,company,,"3Com provides network-based intrusion prevention systems that deliver application, infrastructure and performance protection.",,http://www.3com.com,http://www.3com.com,,,"Spring, Texas, United States","Spring, Texas, United States",Corporate Venture Arms,,"Howard Charney, Robert Metcalfe",http://in.linkedin.com/company/3com,7,9,8,"Early Stage Venture,Late Stage Venture,Venture",
2497fa6f-c558-4ecd-b084-6132c35ca80c,3XM Ventures,company,alberto.azevedo@3xm.ventures,"3XM is a venture capital firm that focuses on means of payments, banking, blockchain, and fintech.",alberto.azevedo@3xm.ventures,https://www.3xm.ventures/,https://www.3xm.ventures/,,,"Dubai, Dubai, United Arab Emirates","Dubai, Dubai, United Arab Emirates",Corporate Venture Arms,,Alby - Alberto de Azevedo,,,2,2,"Early Stage Venture,Venture",
bb2f7f69-476f-48a7-bf13-59837161a255,574 Invest,company,contact@574invest.sncf.fr,574 Invest is the strategic venture capital fund of the SNCF group.,contact@574invest.sncf.fr,https://574invest.com/,https://574invest.com/,,,"Saint-denis, Ile-de-France, France","Saint-denis, Ile-de-France, France",Corporate Venture Arms,,,https://www.linkedin.com/company/574invest,,5,5,Venture,https://twitter.com/574_invest
cb54c268-6894-4e34-be90-ed4c0467cbe3,77 Capital,company,,77 Capital is the venture arm of 77 Bank.,,,,,,,,Corporate Venture Arms,,,,,14,14,Early Stage Venture,
b0715b45-5a62-4ea3-b8e9-f7ac5f7c82f6,7-Ventures LLC,company,,"7-Ventures, LLC, is the 7-ElevenÂ® corporate venturing arm focused on discovering, partnering and investing in consumer-facing technologies.",,https://7-ventures.co/,https://7-ventures.co/,,,"Dallas, Texas, United States","Dallas, Texas, United States",Corporate Venture Arms,,"Raja Doddala, Rob Chumley",,1,10,9,Early Stage Venture,
1b28fbf4-e804-472f-93c7-f34a4ee057a6,A1 sblc Finance investment,company,fifundgroup@gmail.com,"Urgent BG, SBLC for Projects, Guarantee Loans",fifundgroup@gmail.com,http://www.alfinancialservicesltd.com,http://www.alfinancialservicesltd.com,,,,,Corporate Venture Arms,,Rob Ballmer,,,,,"Convertible Note,Private Equity,Venture",
