id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Countries of Investment,Investment Thesis,Investor Type,Stage Of Investment
606b84a1-95b5-4f1b-80cb-a4b3035f0089,1337 Ventures,company,,"1337 Ventures is a venture capital firm that invests in agritech, health tech, social enterprise, and insurtech sectors.",,https://1337.ventures/,https://1337.ventures/,,,"C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia","C-19-08, KL Trillion, 50400, Kuala Lumpur, Malaysia",Top 100 Investors in South East-Asia and India,"Malaysia,Vietnam,Philippines,Thailand",We invest in ideation and early stage startups that are looking to serve ASEAN markets.,VC,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
e4e1564d-9375-4d67-b0aa-90dcc9a20582,1982 Ventures,company,,,,https://1982.vc/,https://1982.vc/,,,"83 Clemenceau Avenue, Floor 2, Singapore 239920","83 Clemenceau Avenue, Floor 2, Singapore 239920",Top 100 Investors in South East-Asia and India,"Malaysia,Vietnam,Philippines,Thailand,Indonesia,Singapore,Cambodia,Bangladesh,Pakistan","We invest in seed stage ( first money ) fintech, regtech, insurtech, SaaS for finance, payments startups in Southeast Asia.",VC,"1. Idea or Patent,2. Prototype,3. Early Revenue"
06feda66-f055-4540-b47e-af9abbd28a4d,Access Ventures (HK),company,,,,https://www.accessvc.co/,https://www.accessvc.co/,,,"Unit 2A, 2nd Floor, Beverly House, 93-107 Lockhart Road, Wan Chai, Hong Kong","Unit 2A, 2nd Floor, Beverly House, 93-107 Lockhart Road, Wan Chai, Hong Kong",Top 100 Investors in South East-Asia and India,"Vietnam,Indonesia",,Other,
3872e7f3-3deb-4613-8c7b-27faf6cbd091,AddVentures by SCG,company,,,,https://www.addventures.co.th/,https://www.addventures.co.th/,,,"Bangkok, Krung Thep, Thailand","Bangkok, Krung Thep, Thailand",Top 100 Investors in South East-Asia and India,Thailand,,Corporate VC,
dc6e5069-ee68-402a-985c-1de3b453a4ba,Agility Ventures,company,serviceexcellence@agility.com,"Agility Ventures offers start-ups access to a global network of resources, and the know-how to incubate, invest and scale the best ideas.",serviceexcellence@agility.com,https://www.agility.com/en/agility-ventures/,https://www.agility.com/en/agility-ventures/,,,"Singapore, Central Region, Singapore","Singapore, Central Region, Singapore","Corporate Venture Arms,Top 100 Investors in South East-Asia and India",Singapore,,Corporate VC,
b604c1b6-b0f9-4f9c-9d8a-2d317d174129,Aksara Ventures,company,,,,https://aksara.vc,https://aksara.vc,,,"Jakarta, Indonesia","Jakarta, Indonesia",Top 100 Investors in South East-Asia and India,"Indonesia,Singapore",We invest in ambitious Indonesian/SEA tech startups,VC,"1. Idea or Patent,2. Prototype,3. Early Revenue"
e1c1f130-2747-4348-a9f1-ca7517d7dfae,Ankur Capital,company,,,,https://www.ankurcapital.com/,https://www.ankurcapital.com/,,,India,India,"VC investing in India ,Top 100 Investors in South East-Asia and India",India,,VC,3. Early Revenue
5d8c9783-abd4-4355-9fa0-ee534848a497,Anthill Ventures,company,,"Anthill Ventures is a Speed Scaling Ecosystem which helps early growth startups in Pre-Series 'A'. We source, invest, scale and syndicate.",,https://anthillventures.com/,https://anthillventures.com/,,,"18 Cross Street #02-101 Office S2077, Singapore 048423","18 Cross Street #02-101 Office S2077, Singapore 048423","All VCs ,VC investing in India ,Top 100 Investors in South East-Asia and India","Singapore,India","We invest in companies that are at an early stage and we help in scaling start-ups using the unique network of channel partners we have. We invest in companies in the Health, Urban Consumer and Urban Tech start-up who have a pre revenue stage.",VC,"3. Early Revenue,4. Scaling,5. Growth"
8fcf1bdf-afff-4616-87bc-1fa20a51e53f,Antler,company,,Antler is a global venture capital firm that builds and invests in the defining technology companies of tomorrow.,,https://www.antler.co/,https://www.antler.co/,,,"79 Anson Rd, #20-1, Central Business District, Singapore 07, SG","79 Anson Rd, #20-1, Central Business District, Singapore 07, SG","VC investing in India ,Top 100 Investors in South East-Asia and India","Singapore,India,USA,Australia,Germany,China,Netherlands,Sweden,Norway,UK,Denmark,Kenya",We invest in pre-revenue startups.,VC,"1. Idea or Patent,2. Prototype"
6c793665-e67b-45a3-b78a-4692db7e660a,Asha Impact,company,,,,http://ashaimpact.com/,http://ashaimpact.com/,,,India,India,"VC investing in India ,Top 100 Investors in South East-Asia and India",India,,VC,3. Early Revenue
