id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,Fund size,Last fund,Notable LPs
2d38a487-4fd2-46b0-a6fa-e1acb3954305,10D,company,,,,https://www.10d.vc/,https://www.10d.vc/,,,"28 HaArba’a Street. Northern Tower, 11th Floor. Tel Aviv, Israel","28 HaArba’a Street. Northern Tower, 11th Floor. Tel Aviv, Israel",Top European VCs,,,
3d74ab14-82b3-4649-a154-d89c49a42e9f,10x Founders,company,,,,,,,,🇩🇪 Germany,🇩🇪 Germany,Top European VCs,"€160,000,000",2022,
9da12e5a-1d9c-436b-82d3-b06e5a042bbd,12 Angels,company,,,,,,,,🇮🇱 Israel,🇮🇱 Israel,Top European VCs,,,
724ec897-b1fd-4d09-a20c-ea4bc4721e41,200M,company,,,,,,,,🇵🇹 Portugal,🇵🇹 Portugal,Top European VCs,"€200,000,000",2016,Portuguese government
aa151ba8-3b35-4fd4-bdb3-918ad59c7ee3,20VC Early,company,,,,,,,,🇬🇧 UK,🇬🇧 UK,Top European VCs,"€27,800,000",2021,"MIT, RIT Capital Partners, Shakil Khan, Daniel Ek"
327d7f3e-4f53-4e16-937c-c3326daefdd3,20VC Explorer,company,,,,,,,,🇬🇧 UK,🇬🇧 UK,Top European VCs,"€90,200,000",2021,"MIT, RIT Capital Partners, Shakil Khan, Daniel Ek"
453f039f-8565-4f83-b63a-313847f92eb6,'212,company,,,,,,,,🇹🇷 Turkey,🇹🇷 Turkey,Top European VCs,"€26,000,000",2019,
bbf8340d-ebe3-491b-9c52-9e5483e025fa,2150VC,company,,,,,,,,🇬🇧 UK,🇬🇧 UK,Top European VCs,"€268,000,000",2021,"Chr. Augustinus Fabrikker, Green Future Fund, Novo Holdings, NREP"
d8cf2ead-b335-4831-a8db-b46c4e6f1da0,360 Capital Partners,company,,,,,,,,🇫🇷 France,🇫🇷 France,Top European VCs,"€90,000,000",2020,
fa91c043-1535-407a-88d0-05065048eaf9,360CP [France],company,,,,,,,,🇫🇷 France,🇫🇷 France,Top European VCs,"€45,000,000",2022,
95aab685-516b-4f0b-ba2f-a881ed6294aa,3VC,company,,,,https://www.three.vc/,https://www.three.vc/,,,"Peter-Behrens-Platz 10, Linz, Austria","Peter-Behrens-Platz 10, Linz, Austria","All VCs ,Top European VCs","€150,000,000",2022,
7a1095a8-9def-43fc-aecd-aae6b6cf4eb6,468 Capital,company,,,,,,,,🇩🇪 Germany,🇩🇪 Germany,"All VCs ,Top European VCs","€354,000,000",2022,
f1735525-a316-4d8d-98f1-95f91612daff,4impact Capital,company,,,,,,,,🇳🇱 Netherlands,🇳🇱 Netherlands,Top European VCs,,,
cb982636-725f-422d-8b30-8a514f853f78,70 Ventures Accel,company,,,,,,,,🇱🇹 Lithuania,🇱🇹 Lithuania,Top European VCs,"€4,800,000",2019,Invega
b23636ed-8e8c-407c-bee7-9fc6bd394013,70 Ventures Seed,company,,,,,,,,🇱🇹 Lithuania,🇱🇹 Lithuania,Top European VCs,"€3,000,000",2019,Invega
37be81a0-9d23-4892-aed3-05324975eecb,7percent Ventures,company,,,,http://www.7percent.vc,http://www.7percent.vc,,,"207 Regent Street, London, United Kingdom","207 Regent Street, London, United Kingdom","All VCs ,Top European VCs","€43,000,000",2019,"British Patient Capital (BPC), Multiple Capital , Nenad Marovac"
6df29ec3-7658-4530-a0de-4e8b74701c4c,83North,company,,83North is a global venture capital firm with more than $1.8B million under management.,,https://www.83north.com/,https://www.83north.com/,,,UK,UK,"All VCs ,Top European VCs","€400,000,000",2022,
384d536a-8183-4ffe-b863-2193407823c2,ABN Amro Ventures,company,,,,,,,,🇳🇱 Netherlands,🇳🇱 Netherlands,Top European VCs,"€50,000,000",2020,ABN Amro
4474944b-ed53-46e7-b1e4-90a36504e6aa,Accelerated Digital Ventures,company,,,,,,,,🇬🇧 UK,🇬🇧 UK,Top European VCs,"€176,115,000",2016,"British Business Bank (BBB), Legal & General, Woodford Investment Management"
202f9f61-44ac-4b04-8c20-35a09041e2ae,Accel Partners,company,,,,https://www.accel.com/,https://www.accel.com/,,,"1 New Burlington Pl, Mayfair, London W1S 2HR, United Kingdom","1 New Burlington Pl, Mayfair, London W1S 2HR, United Kingdom",Top European VCs,"€510,000,000",2019,
610dcaf4-47e1-4bde-9388-2d23b54d4f93,ACE Management (Brienne),company,,,,,,,,🇫🇷 France,🇫🇷 France,Top European VCs,"€80,000,000",2019,"Tikehau Capital, Bpifrance, EDF Pulse Croissance, Naval Group, Sopra Steria"
952d6c6c-63ab-4cae-baa8-fe21ca873a39,ACF Investors - Delta Fund,company,,,,,,,,🇬🇧 UK,🇬🇧 UK,Top European VCs,"€34,200,000",2021,
cb0dedd3-6590-46ff-98fb-2c08ed51e609,Acrobator Ventures,company,,,,https://acrobator.vc/,https://acrobator.vc/,,,"Weesperplein 4A, 1018XA Amsterdam, the Netherlands","Weesperplein 4A, 1018XA Amsterdam, the Netherlands",Top European VCs,"€30,000,000",2022,"Isomer Capital, RussMedia Equity Partners, TeamGlobal, OneWay Ventures, Speedinvest."
7c00b8fd-c0f9-4ecf-9617-bf0e244c76dd,Acton Capital,company,,,,https://actoncapital.com/,https://actoncapital.com/,,,"Widenmayerstrasse 29, Munich, 80538, DE","Widenmayerstrasse 29, Munich, 80538, DE",Top European VCs,,2022,
cf444490-7eea-4df6-9c88-1f63de7293bc,Act Venture Capital,company,,,,https://www.actventure.capital,https://www.actventure.capital,,,"6 Richview Office Park, Dublin 14, Dublin 14, IE","6 Richview Office Park, Dublin 14, Dublin 14, IE","All VCs ,Top European VCs","€140,000,000",2022,"European Investment Fund (EIF), Ireland Strategic Investment Fund (ISIF), Enterprise Ireland (EI), AIB"
53775a26-c2a0-47a6-9b6a-bc21718166a7,ACT Venture Capital,company,,,,,,,,🇮🇪 Ireland,🇮🇪 Ireland,Top European VCs,,,
642f0b18-61e8-4a38-90af-f8f755166df2,Adara Ventures,company,,,,www.adara.vc,www.adara.vc,,,🇪🇸 Spain,🇪🇸 Spain,Top European VCs,"€65,000,000",2019,"European Investment Fund (EIF), FondICO Global, Institut Català de Finances (ICF), Prosegur, Draper Esprit."
602aacb6-fbff-4299-869f-8182c5200045,AENU,company,,,,,,,,🇩🇪 Germany,🇩🇪 Germany,Top European VCs,"€100,000,000",2022,
72eef2da-329f-4ec8-a706-db45b06e6059,Aglaé Ventures,company,,Aglaé Ventures funds and supports passionate entrepreneurs who are committed to building transformational products and services.,,http://aglaeventures.com/,http://aglaeventures.com/,,,🇫🇷 France,🇫🇷 France,Top European VCs,"€40,000,000",2017,Groupe Arnault
34e72703-fef5-45dc-bdaa-4e3cb01bb187,Agrolimen Ventures,company,,,,,,,,🇪🇸 Spain,🇪🇸 Spain,Top European VCs,,2020,Agrolimen
c60bc4ab-c8f6-4271-8109-ae777dd738ef,Ahren,company,,,,,,,,🇬🇧 UK,🇬🇧 UK,Top European VCs,"€223,000,000",2019,"Sky, Aviva, Unilever, André Desmarais, Carlos Rodriguez-Pastor"
06d26aa4-931d-4fc2-a21c-da1967121569,AIB Start-up Accelerator,company,,,,,,,,🇮🇪 Ireland,🇮🇪 Ireland,Top European VCs,"€15,000,000",2017,Enterprise Ireland
ff7320b8-7a75-4655-86af-85b09df071b8,AIP Seed,company,,,,,,,,🇵🇱 Poland,🇵🇱 Poland,Top European VCs,"€25,000,000",2022,
0a09c962-d3f9-400b-89a6-6bceb59cbb6b,Air Street Capital,company,,,,https://www.airstreet.com/,https://www.airstreet.com/,,,UK,UK,"All VCs ,Top European VCs","€21,300,000",2020,"Twitter, Vitruvian Partners, Jeff Dean, Ilkka Paananen, David Helgason, Christoph Janz, Robin Klein, Saul Klein, Shakil Khan, Prima Materia"
