id,name,contactType,favoriteEmail,description,emails,favoriteUrl,urls,favoritePhone,phones,favoriteAddress,addresses,groups,First cheque maximum,First cheque minimum,Investment thesis,Stage
2ac0b321-8ee1-434b-8266-842599df73e8,100X.VC,company,,,,https://www.100x.vc,https://www.100x.vc,,,"91 springboard, Godrej & Boyce, Gate No.2, LBS Marg, Vikhroli West, Mumbai, Maharashtra 400079","91 springboard, Godrej & Boyce, Gate No.2, LBS Marg, Vikhroli West, Mumbai, Maharashtra 400079",VC investing in India ,$300000,$150000,We invest in all sectors focused on writing the first cheque in Indian pre-seed / seed-stage startups.,"1. Idea or Patent,2. Prototype,3. Early Revenue"
202f9f61-44ac-4b04-8c20-35a09041e2ae,Accel Partners,company,,,,https://www.accel.com/,https://www.accel.com/,,,"1 New Burlington Pl, Mayfair, London W1S 2HR, United Kingdom","1 New Burlington Pl, Mayfair, London W1S 2HR, United Kingdom","Top European VCs,VC investing in India ",,,,"3. Early Revenue,4. Scaling"
2e537984-94df-4302-99c7-f9aa15e27399,Accion Venture Lab,company,,,,https://www.accion.org/how-we-work/invest/accion-venture-lab,https://www.accion.org/how-we-work/invest/accion-venture-lab,,,"1101 15th St., NW, Suite 400, Washington, D.C., 20005, US","1101 15th St., NW, Suite 400, Washington, D.C., 20005, US",VC investing in India ,"$500,000","$250,000","We invest in innovative, scalable fintech startups that improve the reach, quality, and affordability of financial services for the underserved.","3. Early Revenue,4. Scaling"
579384ae-db33-4d28-a7b2-403678de93e5,Agya Ventures,company,,,,https://agyaventures.com/,https://agyaventures.com/,,,"430 Park Avenue, New York, NY 10022, United States of America","430 Park Avenue, New York, NY 10022, United States of America","All VCs ,Seed & Series A US VC's ,VC investing in India ","$1,000,000","$250,000","We invest in seed, seed extension and Series A staged real estate tech and construction tech companies.","2. Prototype,3. Early Revenue,4. Scaling"
b771f628-8f6f-4a6b-9c3c-125c8e5dae96,Alpine Ventures,company,,,,https://alpine.vc/,https://alpine.vc/,,,"2331 Glenview St, Alameda, CA 94501","2331 Glenview St, Alameda, CA 94501","All VCs ,VC investing in India ","$2,000,000","$250,000","We invest in seed stage tech startups in consumer Internet, web3 applications, and prosumer software globally. We invest post-product (can be in beta), pre everything else (pre-revenue, pre-growth).","2. Prototype,3. Early Revenue"
219e89d7-9652-48c9-9507-5300ef14ed11,Amicus Capital Partners,company,,,,https://www.amicuscapital.in/,https://www.amicuscapital.in/,,,"3rd floor Rocklines House, 9/1 Museum Road, Bangalore 560 001","3rd floor Rocklines House, 9/1 Museum Road, Bangalore 560 001",VC investing in India ,,,,
35158717-db88-45f2-a3e1-a5a88e523d41,Amit Patel,company,,,,https://www.linkedin.com/mwlite/in/amitp97,https://www.linkedin.com/mwlite/in/amitp97,,,"New Jersey, USA","New Jersey, USA",VC investing in India ,"$250,000","$10,000","I invest in all seed and growth stage startups in AI, SaaS, Blockchain, Healthcare, IoT, Robotics/Automation","2. Prototype,3. Early Revenue,1. Idea or Patent,4. Scaling,5. Growth"
e1c1f130-2747-4348-a9f1-ca7517d7dfae,Ankur Capital,company,,,,https://www.ankurcapital.com/,https://www.ankurcapital.com/,,,India,India,VC investing in India ,,"$500,000",,3. Early Revenue
5d8c9783-abd4-4355-9fa0-ee534848a497,Anthill Ventures,company,,"Anthill Ventures is a Speed Scaling Ecosystem which helps early growth startups in Pre-Series 'A'. We source, invest, scale and syndicate.",,https://anthillventures.com/,https://anthillventures.com/,,,"18 Cross Street #02-101 Office S2077, Singapore 048423","18 Cross Street #02-101 Office S2077, Singapore 048423","All VCs ,VC investing in India ","$10,000,000","$500,000","We invest in companies that are at an early stage and we help in scaling start-ups using the unique network of channel partners we have. We invest in companies in the Health, Urban Consumer and Urban Tech start-up who have a pre revenue stage.","3. Early Revenue,4. Scaling,5. Growth"
8fcf1bdf-afff-4616-87bc-1fa20a51e53f,Antler,company,,Antler is a global venture capital firm that builds and invests in the defining technology companies of tomorrow.,,https://www.antler.co/,https://www.antler.co/,,,"79 Anson Rd, #20-1, Central Business District, Singapore 07, SG","79 Anson Rd, #20-1, Central Business District, Singapore 07, SG",VC investing in India ,"$100,000","$100,000",We invest in pre-revenue startups.,"2. Prototype,1. Idea or Patent"
86f1904c-1a48-4f59-97fc-c824ffd8713e,Arali Ventures,company,,,,https://araliventures.in/,https://araliventures.in/,,,"3rd floor, excubator Building, 19th Main, HSR, Bangalore","3rd floor, excubator Building, 19th Main, HSR, Bangalore",VC investing in India ,"$1,000,000","$500,000",We invest in Indian origin/ indian founder startups at prototype stage solving enterprise problems using new-age tech,"2. Prototype,3. Early Revenue,1. Idea or Patent"
6c793665-e67b-45a3-b78a-4692db7e660a,Asha Impact,company,,,,http://ashaimpact.com/,http://ashaimpact.com/,,,India,India,VC investing in India ,,,,3. Early Revenue
5633d75f-3ed8-467f-9a17-c6e5c235f2ba,Audacious Ventures,company,,,,https://www.audacious.co/,https://www.audacious.co/,,,"San Francisco, USA","San Francisco, USA","All VCs ,VC investing in India ","$4,000,000","$500,000","We invest in seed stage companies: SaaS, Marketplaces, Crypto","1. Idea or Patent,2. Prototype,3. Early Revenue"
ca9d4e7e-6f8b-4755-abd0-14c2092505da,Axilor Ventures,company,,Axilor Ventures is an early stage seed fund and startup accelerator founded by Infosys co-founders Kris Gopalakrishnan and SD Shibulal,,http://axilor.com/,http://axilor.com/,,,"No. 739, 15th Cross, 6th Phase JP Nagar, Sarakki, Bangalore, Karnataka 560078, India","No. 739, 15th Cross, 6th Phase JP Nagar, Sarakki, Bangalore, Karnataka 560078, India",VC investing in India ,"$500,000","$200,000","We invest in early-stage startups in India. We focus on Enterprise and Consumer software, Deep tech, Fintech and Healthtech","2. Prototype,3. Early Revenue"
97c7aafb-fc9d-473d-9ec4-0573980b9be8,Banana Capital,company,,Banana Capital is an early stage investment firm,,https://www.bananacapital.vc/,https://www.bananacapital.vc/,,,"Ann Arbor, MI, USA","Ann Arbor, MI, USA",VC investing in India ,"$300,000","$25,000",We invest in consumer and bottoms-up enterprise products,"2. Prototype,1. Idea or Patent,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO"
3fd059da-adf1-4050-9bbf-759b0840911b,Bessemer Venture Partners,company,,"Bessemer Venture Partners is a venture capital firm that invests in enterprise, consumer, and healthcare early-to-late stage startups.",,https://www.bvp.com/,https://www.bvp.com/,,,"Redwood City, California, United States","Redwood City, California, United States","All VCs ,VC investing in India ",,,,"3. Early Revenue,4. Scaling"
2ee32ffd-a491-4a4b-93f3-7409fd188d3b,Best Nights VC,company,hello@bestnights.vc,"Best Nights VC is the investment unit of Mast-JÃ¤germeister SE, with the mission to shape the nightlife of the future.",hello@bestnights.vc,https://bestnights.vc/,https://bestnights.vc/,,,"M-Venture GmbH, Jägermeisterstr. 7-15, 38296 Wolfenbüttel","M-Venture GmbH, Jägermeisterstr. 7-15, 38296 Wolfenbüttel","Corporate Venture Arms,VC investing in India ","$1,500,000","$100,000","We invest in the most ambitious entrepreneurs with the mission to shape the nightlife of the future. With our Investments we empower people to have THE BEST NIGHTS OF THEIR LIFE and are re-defining the cultural lives of our young urban target group

We invest INTERNATIONAL from SEED TO SERIES A with a TICKET SIZE of EUR 250K â€“ 1.5M. We invest in Consumer-Tech and focus on Digital Interactive Experiences, GenZ driven Consumer Brands, Social Gaming, Social + Communities, Revival of Offline Experiences and Mindful Celebrations. ","3. Early Revenue,2. Prototype,4. Scaling"
4fe7317f-0753-4d4a-939c-4e16bdc3aa3b,Better Tomorrow Ventures,company,,,,http://btv.vc/,http://btv.vc/,,,"San Francisco, CA, USA","San Francisco, CA, USA","All VCs ,VC investing in India ","$2,000,000","$250,000",We invest in seed-stage Fintech,"1. Idea or Patent,2. Prototype,3. Early Revenue"
63d678ce-553c-4c2e-8552-cb64b2ed0232,BGV Benhamou Global Ventures,company,,,,https://benhamouglobalventures.com/,https://benhamouglobalventures.com/,,,"540 Cowper Street, Palo Alto, CA 94301, United States","540 Cowper Street, Palo Alto, CA 94301, United States",VC investing in India ,"$5,000,000","$250,000","We invest in Enterprise 4.0, a next generation of Enterprise Software, which are combining 3 main elements: AI, intelligent automation and unique data set. We are 100% focused on cross-border investments, investing in companies that are conceived outside the US and helping them position themselves in the US. Main focus: Future of Work, Vertical AI platforms (focusing on 1 industry such as retail, manufacturing, logistics, insurtech or focusing on 1 function such as Customer Sucess, Sales, etc), e-commerce, DevOps, Cybersecurity",3. Early Revenue
6eadd785-9f13-43af-84a9-a1cfc8b5734a,Bharat Innovation Fund,company,,,,https://bharat.fund/,https://bharat.fund/,,,India,India,VC investing in India ,,,,3. Early Revenue
19c74d20-e2e9-4122-b849-71d4deb18576,Bluesky Equities,company,,,,http://www.blueskyequities.com/,http://www.blueskyequities.com/,,,"150 9 Ave SW, Calgary, Alberta T2P 3H9, CA","150 9 Ave SW, Calgary, Alberta T2P 3H9, CA",VC investing in India ,"$250,000","$50,000",We invest in global B2B technology companies with >$0 ARR.,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO"
2ce072e9-6f9f-45cd-b190-f6a5c384db13,Brand Capital,company,sf@brandcapital.co.in,"Over ten years, Brand Capital has partnered in the building of over 850+ indigenous brands.",sf@brandcapital.co.in,http://brandcapital.co.in/#,http://brandcapital.co.in/#,,,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India","Corporate Venture Arms,VC investing in India ",,,,
6f759e7b-9cfd-4314-aec3-eac67d0548e5,Breyer Capital,company,,Breyer Capital is a global venture capital and private equity investor that focuses on catalyzing high-impact entrepreneurs.,,https://breyercapital.com/,https://breyercapital.com/,,,USA,USA,"All VCs ,Seed & Series A US VC's ,VC investing in India ",,,,"2. Prototype,3. Early Revenue"
55c138ab-570d-47a4-ba13-1fba5f718e8e,Catamaran Ventures,company,,,,https://catamaran.in/,https://catamaran.in/,,,,,VC investing in India ,,,,
